,avg_evac,avg_cbm,avg_cbm_hse,avg_c_12,avg_E_B,avg_emass_vb_dir2,avg_emass_cb_dir1,avg_emass_cb_dir2,avg_alphax,avg_cbm_hybridization,avg_cbm_score,avg_vbm_score,avg_cbm_p,avg_cbm_sd,avg_cbm_pd,avg_vbm_sp,avg_vbm_sd,avg_vbm_pd,avg_PymatgenData minimum X,avg_PymatgenData range atomic_radius,avg_PymatgenData mean atomic_radius,avg_PymatgenData mean melting_point,avg_cbm_mend_no,avg_cbmsite_nvalence,avg_cbmsite_mp,avg_vbmsite_en,avg_vbmsite_atomic_radius,avg_cbm_character_p,max_cbm,wf_diff,band_alignment_2
avg_cbm_pd,0.365074790369673,0.1558369316963244,0.1843069313964699,0.06461972340591746,-0.274686729083935,-0.10764347196301086,0.18046852198627136,0.21100419687370575,-0.03341597647995139,-0.5113289484976108,0.49095577367482773,0.22455711987847973,-0.24178023768082052,0.044053969043167586,1.0,-0.32786783212649767,0.3831778908911671,0.41559782336530066,0.0877921446572058,-0.01969742638091372,-0.19143447975971575,0.6658384960363714,0.20479527435109607,0.325589893881032,0.7528922223729341,-0.284594497341805,0.11384975269221048,-0.22425451869403681,0.23382090027286068,0.16920189563684726,-0.18041459038124588
avg_cbm_sd,-0.02884603988577185,0.20292940086419903,0.201885169812356,-0.017223635975359048,0.05136621151937215,-0.034675679283546985,-0.0238064653859821,-0.006392083842977662,-0.0021929555495833883,0.11133690701787408,-0.017607292071601676,-0.05957591022128546,-0.23305586508852807,1.0,0.044053969043167586,-0.1137186979843754,-0.08885003521564047,-0.12949252838798817,-0.2384829137612649,-0.1461010889688422,0.10736592373594338,0.024159035524881887,-0.052635264423332634,-0.09083792672597234,0.022379519042936526,0.030085139444132394,0.08884669958060248,-0.22482232355749376,0.13415905698851313,-0.1460574333605993,-0.009673043352727326
avg_cbm_p,-0.38091757111901153,-0.35294813369974676,-0.4221018973788427,-0.24764488111238975,-0.04370937070692819,0.06523996804770757,-0.19080255353421657,-0.1446614141369382,-0.16437558020926496,0.3301677426094749,-0.3363494032462301,-0.13745254012198105,1.0,-0.23305586508852807,-0.24178023768082052,0.48009068287278245,-0.19529969539788264,-0.3864513548476212,0.4767205394774154,-0.03725834260761777,0.11377448014711354,-0.32082011904126323,0.0824860981092707,0.1339131209675937,-0.45949023189094107,0.24009035956627242,-0.16366705625444827,0.8457782474810347,-0.34286691258750845,-0.1877463982998387,0.16371509420066724
avg_vbm_score,-0.05887807416765982,0.14320951631779388,0.18803082050984363,0.10927384038643716,-0.1016809992737657,0.04783827757477751,0.09473731321751927,-0.02775078269668359,-0.10001620461466093,-0.701571923648338,0.6667965971191417,1.0,-0.13745254012198105,-0.05957591022128546,0.22455711987847973,-0.31439792566262065,-0.012826200830075655,0.018873507645572704,0.11519540404527405,0.1508867975426696,-0.2953169842783726,0.2975710756136257,-0.09656768295594768,0.32829772822660547,0.4738178376802457,-0.18489867483451894,-0.08285679595071736,0.020171056321897304,0.32074465384914075,0.36302409744599884,-0.13670994343383056
avg_cbm_score,0.08945996965467087,0.11837520066320963,0.23585629804619995,0.0807545079484623,-0.0013931139712088302,-0.017174491248784864,0.2736139754483642,0.2581144576347766,-0.14852515836790983,-0.9581933035849692,1.0,0.6667965971191417,-0.3363494032462301,-0.017607292071601676,0.49095577367482773,-0.4194840110334656,-0.00711589090767378,0.21145647642648654,-0.16299705966453676,0.19008478100857715,-0.25892542702327626,0.4019052120439416,-0.03346699230733167,0.23134334173401594,0.6584316145522647,-0.07825819862241092,-0.05769045476529583,-0.22804988882315005,0.26001330934110395,0.2689915782744247,-0.19420311644564514
avg_cbm_hybridization,-0.08866184020106102,-0.03162672374853684,-0.1367117392800187,-0.18540885508334295,0.041662933888286124,-0.010353163321693877,-0.2570580891314711,-0.22018404733680524,0.042990383401095074,1.0,-0.9581933035849692,-0.701571923648338,0.3301677426094749,0.11133690701787408,-0.5113289484976108,0.4277047731514752,-0.07343773224680387,-0.2379017057976386,0.0658008445651881,-0.23618115666042627,0.3383305931748068,-0.45502167895919315,0.02671081093217358,-0.2513314812471293,-0.6951374159161025,0.12402653441769564,0.09060060846443257,0.2093166942853279,-0.2015465563734631,-0.3279122643300793,0.23970229422622877
avg_alphax,0.0597971878314686,0.0628156490725632,0.049801721172710915,0.43506417102873246,-0.020332264730260213,0.15739624428886273,-0.15305572091803488,-0.12163539143909342,1.0,0.042990383401095074,-0.14852515836790983,-0.10001620461466093,-0.16437558020926496,-0.0021929555495833883,-0.03341597647995139,-0.01933000964568836,-0.001164565134007055,-0.06554356350708211,-0.20687112480089923,0.024227592995100175,0.13275915269467328,0.2856730797988231,0.04433097239556676,0.06716607268850903,0.14538988018479138,-0.4058803605031966,0.300779278011727,-0.07151861423724606,0.06934498760299596,0.17601123284927409,-0.18199817322559123
avg_emass_cb_dir2,-0.018500176445388598,0.07453224643409416,0.11526625310970574,-0.13001142285480471,0.31874399246207225,-0.1785894012616771,0.7785129638286787,1.0,-0.12163539143909342,-0.22018404733680524,0.2581144576347766,-0.02775078269668359,-0.1446614141369382,-0.006392083842977662,0.21100419687370575,-0.09363832565703915,0.0014654522431119781,0.0076085625917709145,-0.3132414563346394,0.19160883635646542,0.06545951726497556,-0.002118658437291373,0.036551630980618276,-0.04473560579966152,0.0660270878460915,0.11006637805757827,0.001089526107781394,-0.090852399560239,0.049937362804013626,-0.04555746794839822,-0.04284110300657175
avg_emass_cb_dir1,0.03980578816728218,0.1310552113649363,0.1476745064454377,-0.11282756981301052,0.3237886618661204,-0.1518056367076087,1.0,0.7785129638286787,-0.15305572091803488,-0.2570580891314711,0.2736139754483642,0.09473731321751927,-0.19080255353421657,-0.0238064653859821,0.18046852198627136,-0.1810969508745898,0.04394742457350754,0.08837162724528469,-0.15119283127142083,0.12134933261700799,-0.09685714652007872,0.052309158753838424,0.03297451068137699,0.048761775318312786,0.14769766481734914,0.08582999528013673,0.003978068372861323,-0.1580582450302088,0.14149619849616307,0.041707363878961824,-0.006080008088370132
avg_emass_vb_dir2,-0.11210093111090871,-0.08920570911199964,-0.09369814479712285,0.12355593235091837,-0.14954211557836328,1.0,-0.1518056367076087,-0.1785894012616771,0.15739624428886273,-0.010353163321693877,-0.017174491248784864,0.04783827757477751,0.06523996804770757,-0.034675679283546985,-0.10764347196301086,0.02297486941286028,0.020265379052670448,0.05973568612669971,0.1827884387578097,-0.13915296679246172,-0.09690121375314871,0.04488802134844042,0.05506627560524947,0.1285010644502248,0.05138996732353354,-0.078196970876995,0.08459095457736804,0.049567674348385826,-0.05877800839946566,0.019044502822361014,0.07321645306794525
avg_E_B,-0.5093870543935485,-0.022047583769846845,-0.009253155624642878,-0.07148081728392655,1.0,-0.14954211557836328,0.3237886618661204,0.31874399246207225,-0.020332264730260213,0.041662933888286124,-0.0013931139712088302,-0.1016809992737657,-0.04370937070692819,0.05136621151937215,-0.274686729083935,0.089356798774714,-0.06954907655919854,-0.28908443884613133,-0.26906591377044875,0.38305331951424676,-0.030495440844681358,-0.4926961136512911,-0.024781163780361496,-0.3751846543005188,-0.35386762426868057,0.5180153269060569,-0.25186009504233003,-0.009819108337771077,-0.10454180406488188,-0.1821207391878762,0.11300502589069777
avg_c_12,0.14318002690755946,-0.11904044147287389,-0.11690996413209409,1.0,-0.07148081728392655,0.12355593235091837,-0.11282756981301052,-0.13001142285480471,0.43506417102873246,-0.18540885508334295,0.0807545079484623,0.10927384038643716,-0.24764488111238975,-0.017223635975359048,0.06461972340591746,-0.28967066993986157,0.040935792576112705,0.17322854935253323,0.05189752155988977,0.2790472451777466,-0.4352536792989753,0.28471637468336436,-0.08935887726078298,0.02262254386791479,0.2923544798078378,-0.09602254941923322,-0.2173865300626077,-0.1303041585615342,-0.04737515837037522,0.24192101599816548,-0.16856783548414442
avg_cbm_hse,0.3875807811401459,0.8794466460531188,1.0,-0.11690996413209409,-0.009253155624642878,-0.09369814479712285,0.1476745064454377,0.11526625310970574,0.049801721172710915,-0.1367117392800187,0.23585629804619995,0.18803082050984363,-0.4221018973788427,0.201885169812356,0.1843069313964699,-0.07468105097879273,0.15553768882930522,0.055287141541364056,-0.401517160187877,-0.34666290409051065,0.17724677892964003,0.36103583402997513,-0.07053775626007165,0.25160845602948373,0.3593409255725816,-0.34464793708988456,0.3829453019045861,-0.29869561042518283,0.7920921062537178,0.06470984825515337,-0.05863352504423537
avg_cbm,0.47465522271101007,1.0,0.8794466460531188,-0.11904044147287389,-0.022047583769846845,-0.08920570911199964,0.1310552113649363,0.07453224643409416,0.0628156490725632,-0.03162672374853684,0.11837520066320963,0.14320951631779388,-0.35294813369974676,0.20292940086419903,0.1558369316963244,-0.0016205663950861712,0.16424118169715812,-0.05633182689699715,-0.39845888562151416,-0.4218797643563023,0.31429275553567654,0.36509601771652483,-0.11387898497637648,0.25023422534684403,0.2998433994993029,-0.3039793998381144,0.3531701885648757,-0.22714996592911119,0.7634261970104051,-0.06178539550157848,-0.004529828421371566
avg_evac,1.0,0.47465522271101007,0.3875807811401459,0.14318002690755946,-0.5093870543935485,-0.11210093111090871,0.03980578816728218,-0.018500176445388598,0.0597971878314686,-0.08866184020106102,0.08945996965467087,-0.05887807416765982,-0.38091757111901153,-0.02884603988577185,0.365074790369673,-0.07821601746540625,0.32562671251689035,0.2432458538478355,-0.05946018579679113,-0.2768408961289679,0.03815826488821272,0.5748763300740101,0.0010871446582465059,0.30246828190394714,0.5122192459315071,-0.40132428510942236,0.25398498120833013,-0.364153602554836,0.4481855770216278,0.18690179298550844,-0.11093072577628318
