Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
51.47253255,4.0212,1.1919,5.3217,4.1298,5.1066,-4.129,-5.326,ID
33.63881472,3.93123,1.3756,5.9175,4.5419,5.7055,-4.541,-5.926,ID
59.64550134,4.19764,1.1459,5.3151,4.1692,5.0985,-4.113,-5.32,ID
-57.60520166,3.05199,0.9116,6.712,5.8004,6.4979,-5.799,-6.724,ID
57.98958534,3.76213,1.4095,5.7285,4.319,5.5137,-4.319,-5.734,ID
74.69464792,3.96964,1.725,5.7626,4.0376,5.5424,-4.037,-5.768,ID
28.61044445,4.10944,1.3487,5.3832,4.0345,5.1627,-4.033,-5.383,ID
199.7771192,3.58039,0.9428,6.082,5.1392,5.873,-5.128,-6.082,ID
72.74357264,3.67193,2.3359,6.1746,3.8387,5.971,-3.84,-6.19,ID
161.8143383,3.58492,0.8889,6.1785,5.2896,5.9657,-5.274,-6.191,ID
24.57940037,3.70658,1.6677,6.3196,4.6519,6.1046,-4.653,-6.323,ID
28.04810328,3.82649,1.3326,6.2176,4.885,6.0011,-4.884,-6.223,ID
54.63943598,3.66654,0.0632,6.0947,6.0315,6.0416,-5.983,-6.106,ID
300.2428244,4.00618,-0.3518,5.1183,5.4701,5.2473,-5.326,-5.052,M
2282.792586,3.87335,-0.5149,11.4686,11.9835,13.3979,-14.004,-13.333,M
364.4058256,3.99864,-0.0263,6.3746,6.4009,6.4424,-6.403,-6.419,M
-73.73598257,2.90891,-0.2884,6.5493,6.8377,6.5482,-6.836,-6.548,M
-24.63823686,3.09104,0.0058,5.4247,5.4189,5.4085,-5.419,-5.427,M
255.9259878,3.70188,-0.1078,5.073,5.1808,5.1518,-5.128,-5.073,M
207.0798597,3.1829,0.2286,6.4632,6.2346,6.3063,-6.123,-6.483,ID
28.51236428,3.79873,0.1099,4.8106,4.7007,4.7504,-4.7,-4.812,D
-11.54793201,2.79373,0.5208,7.0142,6.4934,6.7826,-6.522,-6.988,ID
94.39681246,4.62046,1.9036,6.0217,4.1181,5.786,-4.103,-6.0,ID
-66.57098021,3.25091,0.1791,5.6853,5.5062,5.582,-5.493,-5.686,ID
-10.67722834,2.9898,-0.129,5.6484,5.7774,5.551,-5.445,-5.653,M
-5.507216638,3.9911,0.9431,6.4837,5.5406,6.2625,-5.54,-6.483,ID
26.81067993,3.42573,0.8368,6.0663,5.2295,5.8624,-5.231,-6.067,D
185.4639358,3.17185,0.3027,5.3819,5.0792,5.2274,-5.062,-5.396,ID
53.02624068,3.80579,1.5991,5.8274,4.2283,5.6002,-4.182,-5.828,ID
42.19432303,3.83134,2.2187,5.9389,3.7202,5.7208,-3.718,-5.943,ID
8.260154079,3.82563,1.0249,7.0016,5.9767,6.783,-5.978,-7.011,ID
1.909721847,3.96311,1.7124,6.8986,5.1862,6.6923,-5.187,-6.909,ID
54.65690629,3.61905,1.5454,6.7103,5.1649,6.4876,-5.121,-6.708,ID
21.56139314,4.0009,1.8599,5.5094,3.6495,5.2953,-3.651,-5.512,ID
35.03305955,4.01832,1.038,5.3512,4.3132,5.139,-4.314,-5.362,ID
39.82667649,3.84838,1.7425,5.2223,3.4798,5.0136,-3.475,-5.221,ID
-7.738107388,4.24344,0.3227,5.2909,4.9682,5.1281,-4.969,-5.292,D
23.00719541,3.93496,2.278,6.5367,4.2587,6.3338,-4.267,-6.553,ID
19.86070376,3.79463,0.6924,6.6809,5.9885,6.4604,-5.989,-6.68,ID
32.25309214,3.91266,0.9944,6.694,5.6996,6.4776,-5.697,-6.693,ID
47.40987723,3.73469,2.176,6.3397,4.1637,6.1231,-4.164,-6.345,ID
51.34944731,3.6966,1.027,5.1914,4.1644,4.9556,-4.148,-5.193,ID
61.14664748,3.29112,0.7084,5.2938,4.5854,5.0842,-4.528,-5.306,ID
24.65701523,3.43182,0.9782,6.9397,5.9615,6.7425,-5.969,-6.964,ID
37.81994345,3.72868,1.0697,5.3427,4.273,5.1117,-4.273,-5.34,ID
45.86753674,3.49815,0.779,5.4984,4.7194,5.3002,-4.696,-5.522,ID
36.67408829,4.10106,0.4875,6.5091,6.0216,6.2938,-5.964,-6.516,ID
