,Unlabeled_ILD
146,3.6162408360269582
147,3.5722279655645783
148,3.727000028672642
149,3.7247906460705154
150,3.7421641862598944
151,3.7041540325331974
152,3.3485266113840413
153,3.388374757392186
154,3.112177970432262
155,3.47664133648022
156,3.691613988745851
157,3.4216825012480516
158,3.532767047557123
159,3.7661822464246777
160,3.46527019737077
161,3.5156424119066325
162,3.529842332888506
163,3.845264807802203
164,3.464773243993284
165,3.600510959449695
166,3.588347181267177
167,3.5185834147883037
168,3.7548258547486886
169,3.7773980969699132
170,3.9357597362537398
171,3.7603587047910447
172,3.891407316608664
173,3.8081199181844663
174,3.8423630641703785
175,3.7848140268969335
176,3.194700475541648
177,3.869567085836126
178,4.016409545321552
179,3.929622452585556
180,3.052844613471753
181,3.9953278344017367
182,3.555878111781438
183,3.706619443828747
184,4.141666974087042
185,4.0328421765953735
186,3.698397655004423
187,3.469638498141517
188,3.821587684194244
189,3.7814390263736026
190,3.5666668486565336
191,3.451401524627814
192,3.4807178978959006
193,3.2007859813215207
194,3.691812351377823
195,3.8295979599556293
196,3.648948314856865
197,3.691333822014626
198,3.640458058058218
199,3.7194006524149947
200,3.811796388219032
201,3.6491800572831927
202,3.656908239022598
203,3.5594322703612513
204,3.1930436691127095
205,3.5081908201951233
206,3.8235791051317123
207,3.877982913679986
208,3.847387850654615
209,3.9175735258889937
210,3.9008833392996562
211,3.6082887193116773
212,3.986219765540283
213,3.7820443235520753
214,3.039913912896407
215,2.944109854352835
216,2.9851721800440196
217,2.9332875888405647
218,3.8221569503569017
219,3.7931016679996894
220,3.8684509304181645
221,3.730717587790542
222,3.8015787339737037
223,3.4152973066197014
224,3.780630961065585
225,3.6715282181778406
226,3.6028604519400913
227,3.926560065300949
228,3.745246212461481
229,3.619530863907094
230,4.201778504915538
231,3.9239541911202833
232,3.9565177132633407
233,3.374875158308092
234,3.0658235460876875
235,3.1230126447735147
236,3.478392859586057
237,3.740702348858042
238,3.6585542029483986
239,3.5543705735829616
240,2.987055096262741
241,2.9910357635286227
242,4.178162842144691
243,3.688241909549241
244,3.2758977855424516
245,4.099736948556955
246,3.805181977061386
247,3.082760568477597
248,3.468377629337992
249,3.4053421990425776
250,3.0106650653227764
251,3.4277891514393244
252,3.2093657326311718
253,3.4979084370077085
254,3.4156357029951057
255,3.08217700976298
256,3.3920863539516066
257,3.590396588001765
258,3.5630150832629197
259,3.9694106551514006
260,3.88383573043168
261,3.926932524240355
262,3.9315307848858927
263,3.9105276856170335
264,3.8092372717803347
265,3.6694003890698323
266,3.8872416502334204
267,4.008773265211108
268,3.868414416802105
269,3.614483228352108
270,3.510170448770869
