,Unlabeled_Ecbm
101,-5.430882796894733
102,-5.463655564756057
103,-5.281207367415167
104,-5.463804527056949
105,-4.954657121430601
106,-4.766723646643843
107,-5.395877202815078
108,-5.2736255957508895
109,-6.234541913448124
110,-5.245283235084225
111,-3.882735736191525
112,-4.1723645200476085
113,-3.4625631914719497
114,-5.029894016213932
115,-5.314037180347412
116,-5.404615831210226
117,-4.239281041219796
118,-4.294304007247637
119,-6.020257030076868
120,-4.414630077952719
121,-4.284765063647944
122,-4.596548388788373
123,-5.901681860257824
124,-5.122222623419488
125,-5.06053237546428
126,-4.92843747477421
127,-5.832295464444643
128,-5.460049554927351
129,-5.224151679982903
130,-4.929399299419315
131,-4.859235950675162
132,-6.022276713290971
133,-4.5725049546061145
134,-4.96015060692652
135,-5.194258917301811
136,-5.373938819894906
137,-6.127049950879632
138,-6.880247952372513
139,-5.704223979020317
140,-5.742569346147481
141,-5.52942563955909
142,-5.5863587648693676
143,-6.58466587013516
144,-6.818614808345001
145,-5.217329006042425
146,-5.3838867737854885
147,-6.252773071257194
148,-5.180775856983074
149,-5.231367214038827
150,-5.395620402931512
151,-6.127462217548645
152,-4.4051489649606905
153,-5.1215280297326835
154,-4.9791411539277854
155,-4.616114876527534
156,-4.8490984939068795
157,-5.886057454916568
158,-5.23419514757903
159,-5.136997077507205
160,-5.874195575991733
161,-4.847489367235389
162,-5.072507166500427
163,-4.286434787574619
164,-5.9288169934854515
165,-4.412704993484963
166,-5.043493595713407
167,-5.20823648695019
168,-4.778846596400349
169,-5.008240626976182
170,-3.9821735909781637
171,-6.179114488034829
172,-4.008990697425733
173,-3.962967297469489
174,-4.776494901317987
175,-5.0809211989928675
176,-5.912187223541247
177,-3.7518329411624753
178,-3.916022029840268
179,-4.194977484971087
180,-6.137544118378141
181,-4.548287705099649
182,-4.493315120988658
183,-4.474629920053024
184,-4.206503686608927
185,-4.09381019323004
186,-4.668313945682288
187,-5.2339354578194905
188,-4.716700316931954
189,-4.499112168213145
190,-4.846822654069148
191,-4.997834113174694
192,-5.348671558756851
193,-6.284252105717899
194,-4.915467151149982
195,-4.151901543406883
196,-4.272771417119637
197,-4.926599474094865
198,-4.740377884758948
199,-4.615464987897797
200,-4.72706354526011
201,-5.096579989672386
202,-5.1939059262986
203,-5.075454415255967
204,-6.09716206271019
205,-5.298901540532322
206,-6.062346258327762
207,-4.084057245612223
208,-3.8847629126656384
209,-4.748154705029491
210,-5.688860422149268
211,-6.042121631097434
212,-4.369136886928114
213,-4.440092236000161
214,-4.768594021215372
215,-5.602526384373968
216,-5.707849566010845
217,-6.039826400533528
218,-4.2185940230578085
219,-3.8008996336925955
220,-4.454104380561898
221,-3.9708541281147527
222,-4.734201821036471
223,-5.786117768104786
224,-4.490103180972098
225,-4.338193855398877
226,-4.524528959409057
227,-4.557810911003457
228,-4.756606781727248
229,-5.209983285612623
230,-4.028075476267465
231,-5.983238959791442
232,-4.2866953888701085
233,-5.128333173337982
234,-5.435084375494369
235,-5.058215591091668
236,-4.6379944366162755
237,-4.412164158880237
238,-4.38496947942201
239,-5.475305631574528
240,-5.791124896522164
241,-5.875063779227995
242,-3.9918362143313804
243,-5.281563007569098
244,-6.051532037179749
245,-4.081984109750605
246,-5.925471408309238
247,-6.1019753818269775
248,-5.032116700095358
249,-4.701268015104509
250,-6.229071789134454
251,-5.467647157334388
252,-6.1874826736671364
253,-5.40336494399108
254,-5.244403455206384
255,-6.367888108731544
256,-5.135593281790616
257,-5.315803847571519
258,-5.2574128463177985
259,-4.523783150159944
260,-4.3554321407771335
261,-5.602255056172072
262,-5.9017920773126775
263,-5.498095594969254
264,-5.82820049499306
265,-5.952642310651544
266,-4.725138158416039
267,-4.832560680378477
268,-4.6319802783316
269,-5.009349792313536
270,-5.238462498824391
271,-4.796849623228506
272,-5.107340404119781
273,-5.315606450099104
274,-4.015015804898503
275,-4.549344420988551
276,-4.40226093698036
277,-5.424330830339968
278,-4.327385171916527
279,-5.803331844298188
280,-4.984844627285653
281,-5.445301271260361
282,-4.9489008750652825
283,-5.085034821323249
284,-4.503388660619488
285,-4.329294024726209
286,-5.299962000231863
287,-5.295021047457984
288,-4.7628457242998525
289,-4.6791405387167195
290,-6.240130929168328
291,-5.091556058745124
292,-4.7466361537152855
293,-4.479921753975575
294,-4.086891288633371
295,-4.360387707531941
296,-4.1180245491677985
297,-5.7621966850573445
298,-4.646264362103149
299,-4.109754060474595
300,-5.798976002936875
301,-3.980847905290447
302,-4.016018484487089
303,-4.227366130627955
304,-4.602653365863814
305,-5.1518574415844585
306,-4.417258988038972
307,-4.338930004044035
308,-4.07641943822257
309,-5.936815993025249
310,-4.57443105012066
311,-4.487393780140179
312,-4.66984435542324
313,-5.59936215225244
314,-4.164458630503065
315,-4.1096163185875145
316,-4.305677117699915
317,-5.358989269149298
318,-4.58761078628234
319,-4.891946626970505
320,-3.937424224386395
321,-6.167550983199968
322,-4.678960651834824
323,-4.117644274740088
324,-4.323954834950037
325,-5.566818921152109
326,-4.590181483143876
327,-5.893754560196281
328,-5.7061446431682405
329,-5.616700720175061
330,-4.090302882604856
331,-5.37030446656259
332,-6.1475896418141485
333,-6.00211683303566
334,-5.628906229720074
335,-6.366823539086054
336,-6.150516084635524
337,-6.050054284481139
338,-5.9557903167549116
339,-5.276967390413022
340,-6.092772862524042
341,-6.0303166312854595
342,-6.32388229439804
343,-6.1198195068448715
344,-6.125944517505996
345,-5.934692832048681
346,-5.775233048289696
347,-5.383091550743611
348,-6.040157866117429
349,-5.24389642132159
350,-3.533096516643787
351,-5.720125915989887
352,-3.6196715433839852
353,-4.021664582477996
354,-3.8863800336800027
355,-5.073993112486005
356,-3.3894472045110984
357,-3.4830172702687046
358,-3.6700316011392244
359,-4.830620319039325
360,-4.88148705883652
361,-3.7194576077232515
362,-4.073040125599143
363,-5.4102559946500035
364,-3.504160253555508
365,-3.8386598460736687
366,-3.4482120427935903
367,-6.307059686212219
368,-3.9877031869020696
369,-4.291714410107527
370,-3.938443701364376
371,-4.204046714667545
372,-5.159161394492877
373,-6.054651342241423
374,-4.058849981969097
375,-6.490305070463148
376,-6.218365821692434
377,-6.257715801433041
378,-6.149895804761747
379,-6.104365024762078
380,-5.368471357966187
381,-6.214497387538888
382,-6.437496539703011
383,-6.222458076327405
384,-5.828631606322017
385,-5.8377935646951515
386,-5.442932479415487
387,-6.181079886493725
388,-5.337779076878768
389,-6.322429749021997
390,-6.034793883742231
391,-5.864321700026215
392,-6.312412761501871
393,-5.879704485540677
394,-5.684031086478408
395,-5.981262367181179
396,-4.396608769937535
397,-3.69597878247372
398,-3.865630743357814
399,-3.820236410747767
400,-5.151162322616424
401,-4.740165138847823
402,-5.265753912450929
403,-4.360479658179076
404,-5.465425083072764
405,-4.616789962155714
406,-3.8856465482121854
407,-4.174193958136298
408,-4.982044144713885
409,-4.350618286431328
410,-4.66328751109332
411,-5.473134748656604
412,-4.382045364240795
413,-6.226284539805838
414,-4.452158468864537
415,-5.927419024487044
416,-4.158349182755148
417,-4.253606114873531
418,-5.2228515132091875
419,-5.677284387476715
420,-4.377598304119688
421,-6.029126496031938
422,-6.012376936957109
423,-4.59008282921871
424,-4.567371149365034
425,-4.561335203224486
426,-6.123139347889061
427,-5.167919442450176
428,-5.84445551584055
429,-6.113359111032248
430,-5.560505231981652
431,-5.400423011964382
432,-5.97273302999713
433,-5.377767402789803
434,-5.770106105478799
435,-3.6207568681347517
436,-3.9473845162484125
437,-5.341292113963647
438,-3.946142070310632
439,-4.268339295551869
440,-5.95999400673006
441,-3.659604147886143
442,-4.091313682335797
443,-3.616267972521383
444,-4.2238764976048175
445,-5.317693276348078
446,-4.34622084482323
447,-5.824486222873495
448,-4.591039026695681
449,-4.351173532984513
450,-4.15769890572779
451,-4.429815973673296
452,-4.733968544453954
453,-3.678762739077283
454,-3.8828804026673334
455,-5.101361928045223
456,-3.835041361601088
457,-3.874720014342026
458,-4.3280260168172155
459,-4.783425497148613
460,-4.8379724898928425
461,-4.684702577884357
462,-4.202985138476187
463,-4.441935235709891
464,-4.054060793482792
465,-4.886160827417296
466,-3.8151375492594077
467,-5.204419754621035
468,-3.869002858726737
469,-5.1270693567755705
470,-3.9435110326911795
471,-3.930987520710043
472,-5.251702119774407
473,-4.108915509339533
474,-4.303787345873045
475,-5.843514427068122
476,-5.059841096867617
477,-5.302218649138479
478,-5.975783253882052
479,-5.081940606627955
480,-5.259478109333308
481,-4.911329634890444
482,-5.000854770014505
483,-4.9232825771687905
484,-4.8884350150493665
485,-4.858740004046263
486,-4.398849887315989
487,-5.10216534578504
488,-4.068570283823828
489,-4.7218008633526924
490,-4.550391061466635
491,-4.5181738952644634
492,-4.3348371948833595
493,-4.524870879677663
494,-4.786667286631522
495,-5.508753290652266
496,-5.668955981865742
497,-6.14575439889063
498,-5.42279495669823
499,-5.407712163539946
500,-3.9507446874957095
501,-5.274501275345175
502,-5.377528167342816
503,-6.03536466918961
504,-4.935820585375413
505,-4.307440706906805
506,-4.468104608245714
507,-4.233187399254483
508,-5.797847615502176
509,-5.938589830176038
510,-4.451257196891582
511,-4.899003347283708
512,-4.938191112958731
513,-5.1287255129074305
514,-4.307445496111846
515,-4.435853654004965
516,-4.788193985683198
517,-4.226636951187516
518,-4.970608599933439
519,-4.110160571397638
520,-4.54492630870311
521,-4.587975060416265
522,-4.2184206426062705
523,-4.8498142980584245
524,-4.381228336284478
525,-4.923894321430457
526,-4.533097555606659
527,-6.072662797050165
528,-4.808778506498539
529,-5.1660388136700774
530,-5.555408564668303
531,-5.2569079494841136
532,-4.578147617241469
533,-5.758808513599163
534,-4.660943657236046
535,-4.648075084765009
536,-4.372373370853225
537,-4.280229021182695
538,-4.671671159364162
539,-5.243000055227269
540,-5.313970591351339
541,-4.303749205578649
542,-5.385867151886642
543,-5.080007676609839
544,-5.262134944582457
545,-4.85844699450362
546,-5.396098394020829
547,-5.352258005768893
548,-5.527207516791958
549,-5.016799871980723
550,-6.009071032355763
551,-4.920029809608803
552,-4.897147868867289
553,-5.138230972997836
554,-5.133441933145079
555,-5.391407010603154
556,-5.098577517644316
557,-4.452242992118849
558,-5.194493767330484
559,-6.25042313785455
560,-4.934849186961949
561,-4.903982772086025
562,-5.588758227059209
563,-5.901326050820492
564,-4.797653608000852
565,-5.5781921796485765
566,-5.796189757419351
567,-5.4625377958706
568,-6.065356335450399
569,-5.762550553452111
570,-4.811402762702362
571,-4.628630409692772
572,-4.760335079612138
573,-4.803674331151714
574,-4.696992469101871
575,-4.543138373031666
576,-4.774752557076552
577,-4.785845748688686
578,-4.643696541795767
579,-4.972089272227643
580,-4.500891613177379
581,-4.426966190859331
582,-4.72454265422476
583,-4.806223620002946
584,-5.110726799323365
585,-5.1806326598970935
586,-5.657752855131694
587,-5.641139796278401
588,-4.558363340423674
589,-4.814757464893861
590,-5.96963473132667
591,-4.8048766438363
592,-5.011819009762387
593,-5.707294049639549
594,-5.085018392112371
595,-5.17429148261481
596,-4.225812439867889
597,-5.076273248192937
598,-5.248134390240834
599,-4.866565087361049
600,-5.055204229019755
601,-3.726056909122814
602,-6.169776427196081
603,-3.695817990095626
604,-4.10971488322072
605,-4.891531221377007
606,-5.155073665696596
607,-6.158869695445738
608,-3.6873526002204153
609,-5.150759145201202
610,-5.254297952081296
611,-4.446707391504014
612,-4.135035951499943
613,-3.818812715457203
614,-5.8349543041331575
615,-5.411505261508215
616,-5.489285152155534
617,-3.9615765240589615
618,-4.587854824761596
619,-4.552406661348532
620,-6.192879859349186
621,-5.14401905793946
622,-5.174361603707202
623,-3.4218198488684943
624,-4.276223889212365
625,-3.6012353092823295
626,-5.747275933209806
627,-4.186622238797471
628,-5.740189595673962
629,-5.855002873139786
630,-6.365785785120734
631,-4.71300136599815
632,-5.74828941654887
633,-4.5836675111875955
634,-5.301040399300234
635,-5.556929372384386
636,-5.181955518595115
637,-5.449040016372771
638,-5.2212368024363744
639,-5.480391653919095
640,-5.200341830966343
641,-5.23298862776924
642,-5.253938900578756
643,-4.961230762259729
644,-3.921082668164967
645,-4.306627937200028
646,-5.072117301026265
647,-5.2664758052142195
648,-5.025239272980758
649,-5.034256925975829
650,-4.644097794749055
651,-4.297209221012243
652,-4.098353459611957
653,-5.3120154224190035
654,-5.269396474435525
655,-4.9927516348639225
656,-5.14425008401893
657,-4.112160136998597
658,-4.0153244016672875
659,-4.69061887519253
660,-5.870483261492079
661,-5.101260991256232
662,-4.947925425463835
663,-5.211908810348393
664,-6.053639578916295
665,-6.21616810449924
666,-6.148635530949711
667,-6.116102874790392
668,-6.111636588124911
669,-6.10843384970761
670,-5.978385301621801
671,-5.937184965943552
672,-5.502840355821686
673,-5.229228023142036
674,-5.032168871829274
675,-3.9621580108601657
676,-5.1872868016170335
677,-3.7977120961680457
678,-4.561385194051836
679,-5.353075365354345
680,-4.967921210637425
681,-4.757512774206851
682,-5.185843057472574
683,-5.509869148442105
684,-5.178528010939355
685,-4.9196235570570925
686,-5.08206257025466
687,-4.330630176816259
688,-5.057669853652647
689,-4.458554945817263
690,-6.257088719095972
691,-4.931633491569783
692,-4.5173999741737605
693,-4.993887415948957
694,-5.505694555449421
695,-5.587969486791468
696,-5.541474424587857
697,-4.462703234249412
698,-6.269213823761788
699,-4.646685941825504
700,-5.397947403066586
701,-6.278760159712475
702,-5.162700844795925
703,-4.471328545991181
704,-5.132242552525146
705,-4.885728909199535
706,-4.7283648860231855
707,-5.048212137060212
708,-4.495673778364305
709,-4.675500577853796
710,-4.6634016887857515
711,-4.711056638489082
712,-5.012751740800408
713,-5.197805474839369
714,-5.278533272952904
715,-4.670176212238509
716,-4.798879879427759
717,-5.0271306531594515
718,-5.326848751326319
719,-5.32182811064962
720,-5.111796383740274
721,-4.46315893804405
722,-4.928554334339724
723,-4.039502263171072
724,-5.233616415383422
725,-4.940796639086386
726,-4.281178964175975
727,-5.297981588433027
728,-6.194906198067864
729,-4.859971608769421
730,-5.842758492584409
731,-6.152057548666066
732,-6.306248337575135
733,-6.076546859553994
734,-5.831852681840784
735,-5.4465459106503005
736,-5.86486311297608
737,-6.148610532326983
738,-6.059912352628069
739,-6.306302588396714
740,-4.996315322264034
741,-5.43929411222767
742,-5.563442813311128
743,-4.980450499585469
744,-5.3726428092171306
745,-5.382952838130498
746,-5.306939513152674
747,-5.521553885467036
748,-4.8489644167807
749,-5.156619802621857
750,-6.12936995375606
751,-6.733550955519845
752,-5.185157595850221
753,-5.851152227205082
754,-5.995393499262376
755,-5.446743153478936
756,-4.101886301197232
757,-4.863092865689766
758,-4.775522765828324
759,-4.771115744247085
760,-4.8615108255028305
761,-4.808002723170106
762,-4.62262551739689
763,-4.4159869292280955
764,-5.077041814237198
765,-3.599131129187467
766,-4.256685448607158
