,Unlabeled_EA
170,4.03583026265921
171,6.126962370373148
172,4.055822036945218
173,3.9297225266458335
174,4.722904148825018
175,5.2184066709478465
176,6.0006872037832055
177,3.7956253301020926
178,3.851639297650899
179,4.171061260264085
180,6.517720864586405
181,4.515545539055266
182,4.429416698352267
183,4.44578208250167
184,4.142851968128716
185,3.9874337843429597
186,4.597680973307966
187,5.384959380751249
188,4.663842312521521
189,4.418204756514321
190,4.757559215562839
191,4.856208085074063
192,5.443050336441466
193,6.253102415640776
194,4.973086430751333
195,4.19763938835245
196,4.284997805419285
197,5.038296209886228
198,4.7688581581784275
199,4.704103796359528
200,4.831208750301792
201,5.237893876946183
202,5.326179413593756
203,5.207167426593107
204,6.071289131185706
205,5.376077617599371
206,5.99371177696998
207,4.00763027164286
208,3.9356097848577845
209,4.709073334309089
210,5.793263210752607
211,6.038796963628719
212,4.332686645269592
213,4.422510966225851
214,4.9076350118657635
215,5.561821677185015
216,5.754346804613033
217,6.054320658652467
218,4.123550131473162
219,3.9667398441735564
220,4.468836123606136
221,4.139659332288324
222,4.864368931612857
223,5.82383026555181
224,4.638697239651901
225,4.370858934728276
226,4.355729024862295
227,4.562423662282513
228,4.7936000021060465
229,5.307804590286699
230,4.040681489312858
231,5.994826765569232
232,4.238745270365932
233,5.1371427458609045
234,5.43118818991587
235,5.418399960825758
236,4.80803451056687
237,4.431172235523281
238,4.215137209348813
239,5.500092392756283
240,5.91759257410331
241,5.787070419162032
242,3.989331517861052
243,5.3677914847645205
244,6.145036515608865
245,4.133063397592682
246,5.9067903970563425
247,6.291791638876092
248,5.018348250819073
249,4.663328803639694
250,6.357235487344217
251,5.606084737329081
252,6.087839991806016
253,5.462880442537562
254,5.325169632851655
255,6.418476590349439
256,5.1128287099217316
257,5.3266121737166205
258,5.334562180157446
259,4.563265834571527
260,4.565582834381183
261,5.563835883155923
262,6.042396872140347
263,5.558162204701763
264,5.9027062865382085
265,6.193849810818075
266,4.4858125450750475
267,4.837634619810063
268,4.500961082866839
269,4.824515732367768
270,5.135292273368615
271,4.658136115988498
272,4.987925794637165
273,5.175466405597378
274,4.032879187007836
275,4.7495135204088585
276,4.45475290788038
277,5.344035339097292
278,4.420678167515367
279,5.796265808602113
280,5.027467477235862
281,5.316612407319409
282,4.876308878107723
283,4.845079247418061
284,4.569817246409462
285,4.524610650493833
286,5.264648932457524
287,5.335183218178126
288,4.595975037871774
289,4.822321420338322
290,6.33962901148992
291,5.063467487839434
292,4.645063231856337
293,4.5128276736252
294,4.624362966159769
295,4.233005823335073
296,3.896042473534851
297,5.620431703147097
298,4.635024117876318
299,4.218206076767643
300,5.672782660897894
301,3.922768121709745
302,3.892593289791515
303,4.006799900926247
304,4.899853335795868
305,5.466767954490051
306,4.81113852913552
307,4.591516989965873
308,4.309042785932843
309,5.9591583847651
310,4.768530288874361
311,4.75579381169464
312,4.89277862695226
313,5.643757632086715
314,4.616233846778656
315,4.436329103743135
316,4.5407255791295595
317,5.398633834326785
318,4.927799201397356
319,4.916667204699681
320,3.995531094550124
321,6.3195650266672185
322,4.743985154718371
323,4.197178542215466
324,4.409322641193548
325,5.827920414555788
326,4.70400350856573
327,6.2807433638023555
328,5.941316363781996
329,5.773766967263762
330,3.8815582028704494
331,5.489399940366959
332,6.027130851260338
333,5.819920443248027
334,6.068629800053975
335,6.382939354458918
336,6.262437434188257
337,6.173398017746598
338,6.019699020410614
339,5.345771965127433
340,6.223703875871603
341,5.9652330591955955
342,6.345858118946936
343,6.089634624100198
344,6.2512799792537255
345,6.213536093551871
346,5.852638684228986
347,5.348371174152489
348,5.983549533324729
349,5.5374730739199105
350,3.5336639069633753
351,5.621891450403857
352,3.47601955682108
353,4.055409871980504
354,3.9621239002164392
355,5.084450487542752
356,3.33026872935125
357,3.4621023196032352
358,3.669355832894853
359,4.769122458517117
360,4.852015739364165
361,3.860302801322881
362,4.041984442708191
363,5.472977775470613
364,3.4440445841731377
365,3.9360926268176284
366,3.3617553724265434
367,6.066713601134237
368,3.959660003932581
369,4.304807559510431
370,3.8014567259833534
371,4.1850844555710704
372,5.147995272476727
373,5.938146348709841
374,3.9497233787058397
375,6.3210175152732395
376,6.113289196442788
377,6.126856491971029
378,5.991625882718761
379,5.937100475270383
380,5.1793373045402165
381,6.05580232544289
382,6.036855368751287
383,6.0528719109546385
384,5.815366202666618
385,5.778043124295279
386,5.176421492165622
387,5.963574571663692
388,5.290545126356356
389,6.472640926097944
390,6.232711365971515
391,6.074273502924556
392,6.447235132450943
393,5.722416033650332
394,5.763314620528239
395,6.082186197672318
396,4.492262809236382
397,3.7719550202845227
398,3.8902937484696425
399,3.711106699867355
400,5.3572151792395335
401,4.702575340395519
402,5.476683802914398
403,4.354915672239907
404,5.804677589349065
405,4.576327400566344
406,3.7852476960054524
407,3.879961346766991
408,5.0038924589919676
409,4.476416409288938
410,4.537108076074312
411,5.526246195771854
412,4.452110177395268
413,6.251323727661476
414,4.239640969571963
415,6.23121724946133
416,4.292253660376653
417,4.1503573048489555
418,5.321909748227433
419,5.840292545001389
420,4.494822264956242
421,6.155582369324411
422,6.338192058923248
423,4.589005314545038
424,4.554619083991663
425,4.589771910498195
426,6.437861315360794
427,5.256670439824549
428,5.3236614119555075
429,6.286839538939649
430,5.824212708663437
431,5.194721679941596
432,6.128140897715674
433,5.605305303495015
434,5.877491374734654
435,3.650395213516161
436,4.013804063266964
437,5.5025746198990575
438,4.09836913822719
439,4.3415991283774495
440,6.126041208083039
441,3.633950140865961
442,4.149852963977111
443,3.571424398853563
444,4.235226245400277
445,5.460409079848069
446,4.376373206553948
447,5.877055676176576
448,4.6060118410468665
449,4.413303336776417
450,4.217564850931338
451,4.446590332533921
452,4.8088784203235395
453,3.7066044462295853
454,4.115388100403716
455,5.177687192450422
456,4.075138885212662
457,3.795843094804657
458,4.320103149253697
459,4.575610178059314
460,4.545527996738801
461,4.619711011633672
462,4.132660060616235
463,4.485653549086212
464,3.9334158723214703
465,4.92492393782043
466,3.7968833610401385
467,5.103686334067764
468,3.7079683943549897
469,5.206269983358098
470,3.756056973191553
471,3.8757541072382837
472,5.189562625799989
473,4.036677088344011
474,4.142733894586524
475,5.947540508184321
476,5.1463018858007175
477,5.343035396121769
478,6.143573169622724
479,5.06284503327368
480,5.258939258040239
481,4.497947691827474
482,4.812270733065625
483,4.784932747229311
484,4.629928312810633
485,4.747784460415497
486,4.484538144274004
487,4.774669256346388
488,4.198990532709765
489,4.845684670693615
490,4.448037399372411
491,4.51137868712206
492,4.359602800303221
493,4.479805563180384
494,4.662635832946596
495,5.491452233075725
496,5.64321367545418
497,6.151558644143315
498,5.283225363520245
499,5.248637489144139
500,3.84885577799968
501,5.56609292227734
502,5.231147606473493
503,6.070060978781916
504,4.802383983240939
505,4.161590107389777
506,4.442515726430664
507,4.066543349614326
508,5.792959501694119
509,5.919729906800787
510,4.301168919705826
511,4.568872001977924
512,4.750839892931801
513,4.739820736805393
514,4.0391262566402695
515,4.512123122141809
516,4.707120606329665
517,4.253884504410447
518,4.902153767422839
519,3.973349880001985
520,4.290544788439877
521,4.563440622490226
522,4.236598834869698
523,4.815120728717703
524,4.242787660389346
525,4.890538720691365
526,4.468685631118998
527,5.90084791726301
528,4.698709064183029
529,5.147310747368022
530,5.442080932980502
531,5.284363260214569
532,4.596970336253708
533,5.6917934777852315
534,4.674951446274138
535,4.597276683506659
536,4.656512730145059
537,4.486852349146891
538,4.614667531617727
539,5.214632343202624
540,5.393155434929541
541,4.953646186813729
542,5.379407659581179
543,5.540157124114108
544,5.3328241940201835
545,4.750644108033666
546,5.6158106711568685
547,5.399933030034738
548,5.573894481365831
549,4.971760162123999
550,5.996879244076325
551,5.154965861782679
552,4.835699872219394
553,5.24894610885212
554,5.3430935616143564
555,5.70866116275406
556,5.321743467189712
557,4.356548391990014
558,5.4422612640448245
559,6.339162147791236
560,5.011954771720328
561,5.076285652684996
562,5.768061949155657
563,5.879711235949796
564,4.892389602036426
565,5.710281940375899
566,5.902829461537546
567,5.601754301701765
568,6.182986633453472
569,5.844302195919742
570,5.553647682680373
571,4.5398715310066535
572,5.393033392479727
573,5.5162455690142265
574,4.823812182169132
575,4.130233399842962
576,5.114063865038466
577,5.575038301197556
578,3.9046032360419956
579,5.963976604352388
580,3.6494667776768273
581,4.510150686532184
582,5.11326948469839
583,5.687982611005394
584,6.131674845917599
585,5.04307635099099
586,5.511926246016582
587,5.497775190850044
588,4.622956338173424
589,4.8378232703304205
590,5.826631543732887
591,4.8862792921827936
592,4.881484837145787
593,5.582377627080131
594,4.9992503682229055
595,5.389083738861874
596,4.240310297869704
597,5.206165098970337
