Bilayer Descriptor,mean,std,min,max
avg_PymatgenData mean X,2.383667071197411,0.2364411304123873,1.8975,3.143333333333333
avg_PymatgenData std_dev X,0.7246471484286021,0.264886548881993,0.0777817459305202,1.5803836559519335
avg_PymatgenData minimum atomic_mass,54.63499340315534,25.359656363287574,5.90947,127.6
avg_PymatgenData maximum atomic_mass,124.63536274684465,38.83626807522389,13.0087,207.2
avg_PymatgenData range atomic_mass,70.00036934368931,37.873122534047226,5.083461399999997,183.6430984
avg_PymatgenData mean atomic_mass,85.80241234773462,26.658211692182185,9.459085,163.01525974999998
avg_PymatgenData std_dev atomic_mass,49.49773584848564,26.780341768533837,3.5945500278400586,129.85528019674842
avg_PymatgenData minimum atomic_radius,1.067900485436893,0.203264769980172,0.425,1.4
avg_PymatgenData maximum atomic_radius,1.489381067961165,0.15619149744554753,0.7749999999999999,2.075
avg_PymatgenData range atomic_radius,0.42148058252427184,0.2152978293894433,0.025,1.125
avg_PymatgenData mean atomic_radius,1.2427386731391585,0.15454564893004744,0.6125,1.5625
avg_PymatgenData std_dev atomic_radius,0.2980317780413689,0.15223855513601972,0.0176776695296637,0.795495128834866
avg_PymatgenData minimum thermal_conductivity,0.49640644417475727,0.6157560961568275,0.0089,3.0
avg_PymatgenData maximum thermal_conductivity,89.99381067961164,61.8030915162543,8.15,430.0
avg_PymatgenData range thermal_conductivity,89.4974042354369,61.800925512141184,6.390000000000001,429.77105
avg_PymatgenData mean thermal_conductivity,38.99438969457929,30.27320428907113,2.8096333333333336,215.114475
avg_PymatgenData std_dev thermal_conductivity,63.28422143347107,43.699853513239745,4.51841233178204,303.8940238126628
avg_PymatgenData minimum melting_point,329.866177184466,132.24412359647837,34.405,722.66
avg_PymatgenData maximum melting_point,1258.3790533980582,617.8875543236254,250.06,3295.5
avg_PymatgenData range melting_point,928.5128762135923,624.050349747512,26.23499999999999,3035.97
avg_PymatgenData mean melting_point,701.1830542071198,257.4870622806311,191.87416666666667,1566.395
avg_PymatgenData std_dev melting_point,656.5577511896564,441.27023410830236,18.550946404429062,2146.7549744789226
avg_cbm_spd_card,1.0036407766990292,0.6321564276270151,0.0,2.0
avg_vbm_spd_card,1.2475728155339805,0.3090192192998299,1.0,2.0
avg_vbmsite_vdw_radius,1.9231067961165047,0.139915018533113,1.495,2.23
avg_cbmsite_vdw_radius,2.0843446601941746,0.13062569859883671,1.66,2.585
avg_cbm_mend_no,45.672330097087375,15.457638885361359,5.5,82.0
avg_cbmsite_mass,108.59984988834951,40.56275415238933,11.41085,207.2
avg_cbmsite_en,1.8816626213592234,0.34081691649658574,0.92,3.01
avg_cbmsite_nvalence,3.4065533980582523,1.115203827206998,0.0,6.0
avg_cbmsite_mp,1190.0665291262135,651.1204472097796,178.85500000000002,3295.5
avg_cbmsite_atomic_vol,13.403100637540453,5.00989356484231,1.861392075,37.57001301083333
avg_cbmsite_atomic_radius,1.433616504854369,0.19504607608217478,0.75,2.075
avg_vbm_mend_no,35.32281553398058,14.432666510838924,6.5,77.5
avg_vbmsite_mass,82.3623721817961,37.03902311877002,13.0087,193.6505
avg_vbmsite_en,2.485643203883495,0.39834757393729614,1.33,3.71
avg_vbmsite_nvalence,5.040048543689321,1.8819084886576107,-2.0,7.0
avg_vbmsite_mp,840.1643203883494,610.7541253606362,54.165,3295.5
avg_vbmsite_atomic_vol,8.041820985562296,3.218305657878825,0.7141881266666665,16.3778940675
avg_vbmsite_atomic_radius,1.1893203883495145,0.1989434361207173,0.55,1.5750000000000002
avg_vbm_character_d,0.2645631067961165,0.3183848432582834,0.0,1.0
avg_vbm_character_p,0.7269417475728155,0.3178813172839885,0.0,1.0
avg_vbm_character_s,0.00849514563106796,0.06469593846033468,0.0,0.5
avg_cbm_character_d,0.3725728155339806,0.3541896368066838,0.0,1.0
avg_cbm_character_p,0.2524271844660194,0.31679497777795995,0.0,1.0
avg_cbm_character_s,0.375,0.3516125521953303,0.0,1.0
min_cbm,-1.3836245635582525,1.0159898957201337,-4.409745704,1.045044663
max_cbm,-0.13149798354854367,0.8188639957903862,-2.884205782,1.843731732
min_vbm,-3.4698411107014566,1.3162117128939361,-6.824461818,0.30812823
max_vbm,-1.621390664089806,1.3268992919854266,-4.92371398,1.214032039
anderson_gap,0.2377661005315534,1.5395189323379739,-4.679126682,3.460110743
wf_diff,1.0291368182063105,0.8717295347964388,0.0104834790000003,4.429202608999999
