,Mismatch,avg_gap_dir_nosoc,avg_gap_nosoc,avg_workfunction,avg_c_12,avg_E_B,avg_emass_vb_dir1,avg_emass_cb_dir1,avg_alphax,avg_alphaz,avg_cbm_score,avg_cbm_s,avg_cbm_pd,avg_vbm_sd,avg_vbm_pd,avg_lattice_param,avg_PymatgenData maximum X,avg_PymatgenData range X,avg_PymatgenData minimum atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData mean atomic_radius,avg_PymatgenData std_dev atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData maximum thermal_conductivity,avg_PymatgenData minimum melting_point,avg_cbm_spd_card,avg_cbmsite_vdw_radius,avg_cbmsite_atomic_vol,avg_cbm_character_p,min_cbm,min_vbm,max_vbm,wf_diff,band_alignment_1,band_alignment_3
avg_PymatgenData minimum melting_point,0.02799867289970607,-0.3947930035380939,-0.36693529560037386,-0.5037360640840358,-0.24697708642496877,-0.4992337408293639,0.04867993056211108,-0.15014814843626081,0.09339859759395039,-0.004108671305932348,-0.12692610696177895,-0.09713384038019378,0.12289877512055541,-0.11921680681031777,-0.00024375734527077062,0.38277221433996794,-0.8995059497173912,-0.7035356806960988,0.5453427288015427,0.446192249777441,0.6317601856450247,-0.6777850998185486,0.7005074611529603,0.06957717629626886,1.0,0.09455733215172947,0.10099024027488823,0.002347170737741969,0.08204816460112185,0.3811257264506125,0.6025908223735013,0.38600828089081995,-0.24323419711750616,-0.07606145353296022,0.09297489570739223
avg_PymatgenData maximum thermal_conductivity,-0.09036209242609718,0.23130553611680452,0.24267511857922763,-0.15574076597323305,-0.07522471783286223,0.1826890277754072,0.04941894041570299,0.1100589515072417,-0.14295301695984364,0.09286222061784069,-0.24752462692294688,0.2864784894817428,-0.23451444649064934,-0.03962373884714341,0.2169492801339429,0.15309913067487654,-0.06747267916370331,-0.038147509185919554,0.051029737232615044,-0.11986359754388667,0.13442973904990438,-0.22292208394574298,-0.0060605446804655886,1.0,0.06957717629626886,-0.3022540489111856,-0.1572691623710314,-0.053972965319661365,0.16531119247900944,0.24723142926702393,-0.012320340331512266,-0.0967866304682382,-0.21589712912979853,0.06333138726296413,-0.2895966077197728
avg_PymatgenData minimum thermal_conductivity,-0.0003505651496561832,-0.27624181914738904,-0.2638451401694885,-0.35509478627880253,-0.14332747884669678,-0.36939063400461314,0.03095758131535135,-0.15768590352078155,-0.07085807079576667,0.06604746250792573,-0.05353678266180409,-0.046753634152298496,0.05257069973611545,-0.09815153746710359,-0.028184362248251108,0.27046159507278755,-0.6473388456047086,-0.49575598861734627,0.5172354716202132,0.43921590444219966,0.4575868382869546,-0.4757576596952282,1.0,-0.0060605446804655886,0.7005074611529603,0.030969442644968672,0.0010157175301585713,-0.025859017239815214,0.09742824208630074,0.2072532234889931,0.3952645972599427,0.2866200991187433,-0.10352128820709293,-0.005122113536652179,0.12472483323418786
avg_PymatgenData std_dev atomic_radius,-0.04012276462545756,0.2671558791976504,0.24377973566533875,0.5234354420302652,0.2751593811051761,0.37523734616688315,-0.09572194476813319,0.08341185980261363,0.03352171461375392,0.012816845007667315,0.2414016526116148,-0.09718912736618551,0.02238104036086827,-0.08214330812208442,-0.012135717987314651,-0.23077549994339785,0.7040139725878612,0.6330137125187951,-0.5134324988324728,-0.2831577949842125,-0.4445283234462339,1.0,-0.4757576596952282,-0.22292208394574298,-0.6777850998185486,0.1550987899966717,0.07457611932355315,0.2971675769549474,0.030922555944542015,-0.45617028295674117,-0.5528889376666261,-0.31301787508804346,0.2516720013590225,0.05495962708526013,0.03993419835382019
avg_PymatgenData mean atomic_radius,-0.024049770384542105,-0.11490276336113373,-0.0706972778974475,-0.4718346231380069,-0.4737004329340686,-0.05215953852514957,0.036573648362107754,-0.010025217237442466,0.12248251190993041,0.02736597159290359,-0.29219694213234276,0.12415401710072672,-0.15237328958784668,-0.09644331400240669,-0.16639180123907965,0.8464619897695799,-0.6702452645593711,-0.36863577146037185,0.7881309565949071,0.771748648219851,1.0,-0.4445283234462339,0.4575868382869546,0.13442973904990438,0.6317601856450247,-0.18682809341984133,0.35994613854948837,0.5517995696389231,0.06430811611603264,0.4127272525766373,0.3906708507840331,0.2036304528754821,-0.3395233758609333,0.06622475883199058,-0.08689320865445044
avg_PymatgenData mean atomic_mass,0.033769594742568375,-0.2814397704928986,-0.24570997594287428,-0.2977186190461962,-0.30331475922992485,-0.18391728201593163,-0.03981610412336182,-0.09331693065340255,0.05250231990712675,0.042714157454573055,-0.2541386191255012,-0.0009571742655791567,-0.012241755139455891,0.06029935015631865,-0.0018630614404499773,0.6880637604542046,-0.41103636599420573,-0.38975054092895095,0.8237024361494194,1.0,0.771748648219851,-0.2831577949842125,0.43921590444219966,-0.11986359754388667,0.446192249777441,-0.09242626436599599,0.3016501527385359,0.37515544078170193,0.11218058904485541,0.10768643354905448,0.32885184236462495,0.25683463157836744,-0.17309524383033478,-0.08330966976658023,0.09452571835869512
avg_PymatgenData minimum atomic_mass,0.02198298001053326,-0.21250891525201557,-0.17019482105886585,-0.3755403511146135,-0.3664041617227522,-0.166311681874313,0.0223153339626567,-0.03746781934243247,0.026288372152989466,0.06646501162421004,-0.2460556822175253,0.06403188084556478,-0.062298847288779255,-0.013746224941894716,0.0049361271516643905,0.6804493634603002,-0.5401725350965733,-0.43124160686599217,1.0,0.8237024361494194,0.7881309565949071,-0.5134324988324728,0.5172354716202132,0.051029737232615044,0.5453427288015427,-0.16350662764879376,0.3371745645376248,0.32017954366800394,0.06215887310601462,0.2571876556101807,0.3414228097362865,0.23609974071257786,-0.23271974040251725,0.004380695312639699,-0.0062601603188289345
avg_PymatgenData range X,-0.059470819366494086,0.4289145770899089,0.3974778631336083,0.32854355705571364,0.15474129012461754,0.5057990348548953,-0.05886403186128751,0.23024117268319239,0.06617431062846205,-0.047901029299581954,0.19999464785352034,0.08233675480255484,-0.06966553845631115,-0.09942933830403371,-0.027363538122029737,-0.1795815536832969,0.7690240323633306,1.0,-0.43124160686599217,-0.38975054092895095,-0.36863577146037185,0.6330137125187951,-0.49575598861734627,-0.038147509185919554,-0.7035356806960988,-0.002159092593922858,0.17750586808384694,0.2431754679813938,-0.26878627438552544,-0.20223961576073532,-0.5475002324002927,-0.2117637522461318,0.31776540836592143,0.1458813778765758,-0.0021005378082763772
avg_PymatgenData maximum X,-0.018824254137185283,0.323786824632097,0.29680666805918954,0.5404199146523626,0.2193601005220603,0.40374388264691663,-0.11049999493851206,0.1798716232735331,-0.08962047008400541,-0.11234904621839947,0.13744715479919323,0.021344454043055495,-0.026080737070184948,0.08290373476771401,0.10834695279792791,-0.420354249819403,1.0,0.7690240323633306,-0.5401725350965733,-0.41103636599420573,-0.6702452645593711,0.7040139725878612,-0.6473388456047086,-0.06747267916370331,-0.8995059497173912,-0.014554280497642794,-0.07090335592038698,-0.04517710646696618,-0.06228945419653572,-0.4817982214382632,-0.6251306077294916,-0.2997174436468161,0.368162614675997,-0.013806645198636442,0.03709683857823383
avg_lattice_param,-0.019558512522146285,-0.022611361000440047,0.04572261507770019,-0.24606375467692224,-0.36101765248462514,0.16333035144568928,-0.1365706311962208,-0.01858013310570597,0.1930451451241359,0.033444277418787825,-0.43279884069362795,0.2432344519965261,-0.31658479453071037,-0.20088547903780363,-0.18994298241471594,1.0,-0.420354249819403,-0.1795815536832969,0.6804493634603002,0.6880637604542046,0.8464619897695799,-0.23077549994339785,0.27046159507278755,0.15309913067487654,0.38277221433996794,-0.35331071041043305,0.3705093060515207,0.5835817724752376,0.16982377876779148,0.14402761118931184,0.12050806956768595,-0.05261173004532297,-0.3183448027084963,0.09268591260653618,-0.14729450765645247
